Method,PSNR (↑),SSIM (↑),LPIPS (↓)
BICUBIC,24.6296 ± 3.1520,0.7124 ± 0.1139,0.4577 ± 0.1336
REAL-ESRGAN,24.4706 ± 3.6905,0.7102 ± 0.1274,0.1391 ± 0.0555
